display_name,modulation,order,channel_name,gray_ok,roll_off,input_mode,snr_db,media,repeat,decoder,ber,model_path
16PSK,MPSK,16,AWGN,True,0.35,hard,8,audio,2,AI-BiGRU,0.0005245401,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,audio,3,Viterbi,0.0012070384,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,8,audio,3,AI-BiGRU,0.0004589726,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,audio,1,Viterbi,0.0001236842,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,audio,1,AI-BiGRU,0.0000730184,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,audio,2,Viterbi,0.0000864299,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,audio,2,AI-BiGRU,0.0000655675,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,audio,3,Viterbi,0.0000655675,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16PSK,MPSK,16,AWGN,True,0.35,hard,10,audio,3,AI-BiGRU,0.0000506658,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mpsk_16_awgn.pt
16QAM,MQAM,16,AWGN,True,0.35,hard,0,image,1,Viterbi,0.0334858206,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mqam_16_awgn.pt
16QAM,MQAM,16,AWGN,True,0.35,hard,0,image,1,AI-BiGRU,0.0272926399,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mqam_16_awgn.pt
16QAM,MQAM,16,AWGN,True,0.35,hard,0,image,2,Viterbi,0.0315571149,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mqam_16_awgn.pt
16QAM,MQAM,16,AWGN,True,0.35,hard,0,image,2,AI-BiGRU,0.0259260695,E:\毕业设计\毕设\ai卷积码译码\models\bigru_mqam_16_awgn.pt
